head	rel	tail	hastscore	hasescore	hasdscore
458	0	2520	1.0	1.0	1.0
692	0	8916	1.0	1.0	1.0
266	0	6005	1.0	1.0	1.0
1757	0	3571	1.0	1.0	1.0
648	0	1579	1.0	1.0	1.0
360	0	3260	1.0	1.0	1.0
1364	0	6756	1.0	1.0	1.0
162	0	8931	1.0	1.0	1.0
233	0	8766	1.0	1.0	1.0
1884	0	433	1.0	1.0	1.0
6	0	3011	1.0	1.0	1.0
480	0	4811	1.0	1.0	1.0
1328	0	5483	1.0	1.0	1.0
102	0	3095	1.0	1.0	1.0
233	0	2836	1.0	1.0	1.0
337	0	3282	1.0	1.0	1.0
724	0	5909	1.0	1.0	1.0
521	0	3985	1.0	1.0	1.0
1551	0	4377	1.0	1.0	1.0
695	0	4405	1.0	1.0	1.0
1529	0	7538	1.0	1.0	1.0
951	0	2467	1.0	1.0	1.0
2260	0	5125	1.0	1.0	1.0
454	0	7801	1.0	1.0	1.0
1496	0	7115	1.0	1.0	1.0
295	0	5063	1.0	1.0	1.0
2041	0	6134	1.0	1.0	1.0
2155	0	6815	1.0	1.0	1.0
1215	0	6679	1.0	1.0	1.0
604	0	4610	1.0	1.0	1.0
1470	0	7566	1.0	1.0	1.0
2015	0	6474	1.0	1.0	1.0
505	0	3880	1.0	1.0	1.0
454	0	2810	1.0	1.0	1.0
245	0	8806	1.0	1.0	1.0
563	0	4937	1.0	1.0	1.0
214	0	4286	1.0	1.0	1.0
2907	0	1363	1.0	1.0	1.0
235	0	3596	1.0	1.0	1.0
245	0	2289	1.0	1.0	1.0
1355	0	3707	1.0	1.0	1.0
957	0	5283	1.0	1.0	1.0
511	0	7511	1.0	1.0	1.0
86	0	5849	1.0	1.0	1.0
501	0	5907	1.0	1.0	1.0
1615	0	5958	1.0	1.0	1.0
440	0	1209	1.0	1.0	1.0
245	0	4941	1.0	1.0	1.0
297	0	6321	1.0	1.0	1.0
6	0	1876	1.0	1.0	1.0
337	0	7511	1.0	1.0	1.0
96	0	3734	1.0	1.0	1.0
567	0	5159	1.0	1.0	1.0
445	0	6991	1.0	1.0	1.0
1948	0	2339	1.0	1.0	1.0
440	0	3638	1.0	1.0	1.0
448	0	6776	1.0	1.0	1.0
148	0	7361	1.0	1.0	1.0
738	0	8782	1.0	1.0	1.0
779	0	3718	1.0	1.0	1.0
2307	0	2520	1.0	1.0	1.0
798	0	215	1.0	1.0	1.0
834	0	7806	1.0	1.0	1.0
2897	0	5829	1.0	1.0	1.0
180	0	4751	1.0	1.0	1.0
157	0	2109	1.0	1.0	1.0
501	0	7755	1.0	1.0	1.0
814	0	5685	1.0	1.0	1.0
102	0	3535	1.0	1.0	1.0
208	0	2704	1.0	1.0	1.0
3699	0	8359	1.0	1.0	1.0
0	0	8468	1.0	1.0	1.0
918	0	5023	1.0	1.0	1.0
2249	0	7247	1.0	1.0	1.0
1725	0	2147	1.0	1.0	1.0
464	0	7812	1.0	1.0	1.0
2041	0	3317	1.0	1.0	1.0
246	0	6311	1.0	1.0	1.0
994	0	7960	1.0	1.0	1.0
973	0	4802	1.0	1.0	1.0
133	0	4723	1.0	1.0	1.0
1172	0	1837	1.0	1.0	1.0
2023	0	3210	1.0	1.0	1.0
1492	0	8158	1.0	1.0	1.0
549	0	508	1.0	1.0	1.0
79	0	5928	1.0	1.0	1.0
987	0	1792	1.0	1.0	1.0
233	0	3509	1.0	1.0	1.0
