entity,id
Reaction_R-HSA-936991,763
Protein_UTP3,764
Pathway_R-HSA-6790901,765
Protein_CAT,766
GO_0032991_instance,767
Protein_CD46,768
Reaction_R-HSA-1235070,769
Pathway_R-HSA-1234174,770
Reaction_R-HSA-167292,771
Pathway_R-HSA-162587,772
Protein_RTN3,773
GO_0016020_instance,774
Protein_EGLN2,775
Protein_INTS15,776
Reaction_R-HSA-9648017,777
Pathway_R-HSA-68877,778
Protein_RPS3A,779
Pathway_R-HSA-8953897,780
Protein_DGKA,781
Pathway_R-HSA-388396,782
Reaction_R-HSA-202969,783
Pathway_R-HSA-109581,784
Protein_CLIP1,785
Pathway_R-HSA-9694516,786
Protein_SCYL1,787
Sample_GSM1318002,788
Protein_TUBGCP2,789
Sample_GSM1317908,790
Protein_ANKRD12,791
Protein_UBQLNL,792
Protein_MICU2,793
Protein_CDC42,794
Reaction_R-HSA-183002,795
Sample_GSM1317953,796
Protein_ATP6V1F,797
Protein_PLPP3,798
Protein_CLASP1,799
Protein_KLRD1,800
Reaction_R-HSA-5691512,801
Pathway_R-HSA-72766,802
Protein_TOPORS,803
Protein_ARRDC2,804
GO_0070727_instance,805
Protein_XAF1,806
Protein_BFAR,807
Protein_CBLL1,808
Protein_TTYH3,809
Protein_REEP5,810
Reaction_R-HSA-8868072,811
Protein_CLPTM1,812
GO_0045321_instance,813
Protein_RECQL,814
Protein_SAFB2,815
Protein_MTMR6,816
Protein_RNPC3,817
Reaction_R-HSA-1225952,818
Protein_CLK1,819
Protein_KCTD5,820
Protein_CCNH,821
Pathway_R-HSA-167160,822
Protein_UNC45A,823
Protein_CAPN15,824
Protein_VPS13C,825
Protein_NFIL3,826
Protein_COP1,827
Reaction_R-HSA-212252,828
Protein_CALM3,829
Sample_GSM1318026,830
Protein_CNOT7,831
Protein_RSRP1,832
Reaction_R-HSA-9937724,833
Protein_CIR1,834
Protein_PLEK,835
Protein_DNM2,836
Pathway_R-HSA-1169091,837
Protein_SRPK2,838
Protein_CTNNBL1,839
Protein_MEGF9,840
Reaction_R-HSA-909732,841
Protein_GNGT2,842
Reaction_R-HSA-749448,843
Protein_SLC26A8,844
Protein_NFE2L1,845
GO_2001141_instance,846
Reaction_R-HSA-199935,847
Protein_PDCD6,848
Protein_PREB,849
Reaction_R-HSA-8951977,850
Pathway_R-HSA-8951936,851
Protein_WIPF1,852
Reaction_R-HSA-5621355,853
Pathway_R-HSA-5621481,854
Protein_USP14,855
Pathway_R-HSA-168142,856
Protein_RNF31,857
Protein_UBE2V2,858
Protein_UFM1,859
Sample_GSM1318013,860
Protein_AGGF1,861
Protein_ZMIZ1,862
Reaction_R-HSA-8939900,863
Pathway_R-HSA-8878166,864
Protein_WHAMM,865
Reaction_R-HSA-9693250,866
Protein_DCTN5,867
Reaction_R-HSA-396941,868
GO_0000793_instance,869
Protein_TPI1,870
Sample_GSM1317963,871
Protein_SERP1,872
Protein_VPS18,873
Protein_CLOCK,874
Reaction_R-HSA-9923005,875
Protein_CCNG2,876
Protein_MCFD2,877
Protein_PDPK1,878
Protein_PTDSS1,879
Reaction_R-HSA-69562,880
Pathway_R-HSA-69563,881
Pathway_R-HSA-9708530,882
Pathway_R-HSA-9711123,883
Protein_ABCD1,884
Reaction_R-HSA-5138459,885
Reaction_R-HSA-198266,886
Pathway_R-HSA-187037,887
Protein_SNW1,888
Reaction_R-HSA-8945709,889
Protein_ATP5F1D,890
Protein_ZNF185,891
Reaction_R-HSA-997311,892
Protein_SPOPL,893
Sample_GSM1318035,894
Reaction_R-HSA-914182,895
GO_0032553_instance,896
Sample_GSM1318020,897
Protein_CLN3,898
Reaction_R-HSA-9844955,899
Sample_GSM1317993,900
Protein_UBE2C,901
Sample_GSM1317944,902
Protein_RASGRP2,903
GO_0010605_instance,904
Protein_PKM,905
Protein_RAB24,906
Protein_ZNF746,907
GO_0042802_instance,908
Protein_ME2,909
Protein_DEDD,910
Protein_MUC1,911
Sample_GSM1317918,912
Protein_ZNF580,913
Protein_SGTB,914
Protein_ID2,915
Protein_HNRNPC,916
Protein_UEVLD,917
GO_0019866_instance,918
GO_0051707_instance,919
Reaction_R-HSA-8944522,920
Reaction_R-HSA-9013023,921
Protein_ARL6IP5,922
Protein_G3BP1,923
Protein_NR3C1,924
Protein_DAXX,925
GO_0051493_instance,926
Reaction_R-HSA-6791223,927
Pathway_R-HSA-8953854,928
Protein_MYC,929
Reaction_R-HSA-8935766,930
Pathway_R-HSA-8934593,931
Protein_PRICKLE4,932
Protein_TNFAIP8L1,933
Reaction_R-HSA-9729454,934
Protein_PGLYRP1,935
Protein_DCK,936
GO_0031981_instance,937
Protein_RHOT2,938
Protein_SH3BP1,939
Protein_SFXN4,940
Sample_GSM1318058,941
Protein_SRRM2,942
Protein_ACIN1,943
Protein_KIFC1,944
GO_0000278_instance,945
Protein_SMC1A,946
Protein_DDRGK1,947
Reaction_R-HSA-9033238,948
Reaction_R-HSA-6800798,949
GO_0005765_instance,950
Protein_SKP2,951
Reaction_R-HSA-983147,952
GO_0051130_instance,953
Reaction_R-HSA-5250978,954
Pathway_R-HSA-5250989,955
Protein_ATG101,956
Protein_BID,957
Protein_PICALM,958
Protein_CAST,959
Protein_SH3KBP1,960
Protein_SUCLG2,961
GO_0044419_instance,962
Protein_CKS2,963
Reaction_R-HSA-937337,964
Protein_UTP14A,965
Pathway_R-HSA-2408522,966
Pathway_R-HSA-1430728,967
Protein_FAM234A,968
GO_0031982_instance,969
Protein_MANBAL,970
Protein_PRRC1,971
GO_0005794_instance,972
Sample_GSM1318047,973
Reaction_R-HSA-983156,974
Sample_GSM1317938,975
Protein_ECHDC1,976
Reaction_R-HSA-1980078,977
Protein_PTTG1,978
Protein_SMNDC1,979
GO_0005681_instance,980
Protein_GUSB,981
Sample_GSM1317909,982
Protein_TMUB2,983
Protein_ATP2A2,984
GO_0043065_instance,985
Sample_GSM1318008,986
Protein_KMT5B,987
Pathway_R-HSA-3247509,988
Sample_GSM1317956,989
Protein_SLC30A5,990
GO_0098827_instance,991
Protein_HECA,992
Sample_GSM1317936,993
Protein_SLF2,994
Protein_MRPL54,995
Sample_GSM1318034,996
Protein_ARID4B,997
Pathway_R-HSA-72662,998
Protein_MRPS12,999
GO_0005761_instance,1000
Reaction_R-HSA-888589,1001
Pathway_R-HSA-112316,1002
Protein_DDX23,1003
Protein_ANKFY1,1004
Protein_TNRC6A,1005
Reaction_R-HSA-9653108,1006
GO_0019900_instance,1007
Protein_ATP6AP2,1008
Protein_ATP1A1,1009
Protein_CENPT,1010
Reaction_R-HSA-9633008,1011
Pathway_R-HSA-168249,1012
Reaction_R-HSA-6814121,1013
Pathway_R-HSA-6814122,1014
Sample_GSM1318029,1015
Protein_PPCS,1016
Reaction_R-HSA-174058,1017
Pathway_R-HSA-69278,1018
Protein_GET1,1019
Sample_GSM1318019,1020
